tile_id,cloud_cover,date,spatial_cover,links,month
T14SMF,0,2021-03-03,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021062T172221.v2.0/HLS.S30.T14SMF.2021062T172221.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021062T172221.v2.0/HLS.S30.T14SMF.2021062T172221.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021062T172221.v2.0/HLS.S30.T14SMF.2021062T172221.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021062T172221.v2.0/HLS.S30.T14SMF.2021062T172221.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021062T172221.v2.0/HLS.S30.T14SMF.2021062T172221.v2.0.Fmask.tif'}",3
T14SMF,0,2021-03-28,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021087T171849.v2.0/HLS.S30.T14SMF.2021087T171849.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021087T171849.v2.0/HLS.S30.T14SMF.2021087T171849.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021087T171849.v2.0/HLS.S30.T14SMF.2021087T171849.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021087T171849.v2.0/HLS.S30.T14SMF.2021087T171849.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021087T171849.v2.0/HLS.S30.T14SMF.2021087T171849.v2.0.Fmask.tif'}",3
T14SMF,5,2021-05-07,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021127T171849.v2.0/HLS.S30.T14SMF.2021127T171849.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021127T171849.v2.0/HLS.S30.T14SMF.2021127T171849.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021127T171849.v2.0/HLS.S30.T14SMF.2021127T171849.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021127T171849.v2.0/HLS.S30.T14SMF.2021127T171849.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021127T171849.v2.0/HLS.S30.T14SMF.2021127T171849.v2.0.Fmask.tif'}",5
T14SMF,0,2021-06-16,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021167T171859.v2.0/HLS.S30.T14SMF.2021167T171859.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021167T171859.v2.0/HLS.S30.T14SMF.2021167T171859.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021167T171859.v2.0/HLS.S30.T14SMF.2021167T171859.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021167T171859.v2.0/HLS.S30.T14SMF.2021167T171859.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021167T171859.v2.0/HLS.S30.T14SMF.2021167T171859.v2.0.Fmask.tif'}",6
T14SMF,0,2021-07-31,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021212T171901.v2.0/HLS.S30.T14SMF.2021212T171901.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021212T171901.v2.0/HLS.S30.T14SMF.2021212T171901.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021212T171901.v2.0/HLS.S30.T14SMF.2021212T171901.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021212T171901.v2.0/HLS.S30.T14SMF.2021212T171901.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021212T171901.v2.0/HLS.S30.T14SMF.2021212T171901.v2.0.Fmask.tif'}",7
T14SMF,1,2021-08-10,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021222T171901.v2.0/HLS.S30.T14SMF.2021222T171901.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021222T171901.v2.0/HLS.S30.T14SMF.2021222T171901.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021222T171901.v2.0/HLS.S30.T14SMF.2021222T171901.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021222T171901.v2.0/HLS.S30.T14SMF.2021222T171901.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021222T171901.v2.0/HLS.S30.T14SMF.2021222T171901.v2.0.Fmask.tif'}",8
T14SMF,0,2021-08-25,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021237T171849.v2.0/HLS.S30.T14SMF.2021237T171849.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021237T171849.v2.0/HLS.S30.T14SMF.2021237T171849.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021237T171849.v2.0/HLS.S30.T14SMF.2021237T171849.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021237T171849.v2.0/HLS.S30.T14SMF.2021237T171849.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021237T171849.v2.0/HLS.S30.T14SMF.2021237T171849.v2.0.Fmask.tif'}",8
T14SMF,0,2021-09-09,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021252T171901.v2.0/HLS.S30.T14SMF.2021252T171901.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021252T171901.v2.0/HLS.S30.T14SMF.2021252T171901.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021252T171901.v2.0/HLS.S30.T14SMF.2021252T171901.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021252T171901.v2.0/HLS.S30.T14SMF.2021252T171901.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021252T171901.v2.0/HLS.S30.T14SMF.2021252T171901.v2.0.Fmask.tif'}",9
T14SMF,0,2021-09-19,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021262T172011.v2.0/HLS.S30.T14SMF.2021262T172011.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021262T172011.v2.0/HLS.S30.T14SMF.2021262T172011.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021262T172011.v2.0/HLS.S30.T14SMF.2021262T172011.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021262T172011.v2.0/HLS.S30.T14SMF.2021262T172011.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021262T172011.v2.0/HLS.S30.T14SMF.2021262T172011.v2.0.Fmask.tif'}",9
T14SMF,0,2021-09-29,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021272T172121.v2.0/HLS.S30.T14SMF.2021272T172121.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021272T172121.v2.0/HLS.S30.T14SMF.2021272T172121.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021272T172121.v2.0/HLS.S30.T14SMF.2021272T172121.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021272T172121.v2.0/HLS.S30.T14SMF.2021272T172121.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMF.2021272T172121.v2.0/HLS.S30.T14SMF.2021272T172121.v2.0.Fmask.tif'}",9
