tile,exclude,tif_download,tif_reproject,chip,filter_chips
13TDE,False,False,False,False,False
16SDD,False,False,False,False,False
13SFV,False,False,False,False,False
14TNS,False,False,False,False,False
14UMU,False,False,False,False,False
17TKG,False,False,False,False,False
16SGA,False,False,False,False,False
17TPH,False,False,False,False,False
14SLG,False,False,False,False,False
18TWN,False,False,False,False,False
18STE,False,False,False,False,False
16TCN,False,False,False,False,False
14SLF,False,False,False,False,False
14TNR,False,False,False,False,False
15TVK,False,False,False,False,False
16SED,False,False,False,False,False
13SGA,False,False,False,False,False
16RFV,False,False,False,False,False
11TPH,False,False,False,False,False
18TUN,False,False,False,False,False
14SPH,False,False,False,False,False
11TLM,False,False,False,False,False
12TWT,False,False,False,False,False
16TFN,False,False,False,False,False
18SVH,False,False,False,False,False
15TUL,False,False,False,False,False
13TEN,False,False,False,False,False
12TYR,False,False,False,False,False
16TEM,False,False,False,False,False
15STT,False,False,False,False,False
14SKG,False,False,False,False,False
16RGV,False,False,False,False,False
15TYK,False,False,False,False,False
14UNU,False,False,False,False,False
14SPG,False,False,False,False,False
16SCE,False,False,False,False,False
15TVL,False,False,False,False,False
17SNT,False,False,False,False,False
13SGU,False,False,False,False,False
14SKE,False,False,False,False,False
16SCG,False,False,False,False,False
13TEE,False,False,False,False,False
17SQV,False,False,False,False,False
16SCF,False,False,False,False,False
13SGV,False,False,False,False,False
16TDP,False,False,False,False,False
17TLJ,False,False,False,False,False
16TGN,False,False,False,False,False
16TEN,False,False,False,False,False
15SUV,False,False,False,False,False
14TQL,False,False,False,False,False
16TDQ,False,False,False,False,False
14SPF,False,False,False,False,False
11TNM,False,False,False,False,False
15TXE,False,False,False,False,False
16SDF,False,False,False,False,False
15TWL,False,False,False,False,False
14SNH,False,False,False,False,False
14TQS,False,False,False,False,False
15SVC,False,False,False,False,False
14TMP,False,False,False,False,False
16TDL,False,False,False,False,False
16TCQ,False,False,False,False,False
14TMR,False,False,False,False,False
14SLH,False,False,False,False,False
14TPT,False,False,False,False,False
15TWG,False,False,False,False,False
18TWQ,False,False,False,False,False
12UYU,False,False,False,False,False
14TMS,False,False,False,False,False
14SNA,False,False,False,False,False
16TFP,False,False,False,False,False
18TVK,False,False,False,False,False
17SQU,False,False,False,False,False
17TLH,False,False,False,False,False
12TXR,False,False,False,False,False
14TPR,False,False,False,False,False
18TWK,False,False,False,False,False
18SVJ,False,False,False,False,False
15SYA,False,False,False,False,False
13TGF,False,False,False,False,False
10TER,False,False,False,False,False
18SUJ,False,False,False,False,False
16SCH,False,False,False,False,False
15SYD,False,False,False,False,False
17TQH,False,False,False,False,False
16TCR,False,False,False,False,False
16TGP,False,False,False,False,False
15RTN,False,False,False,False,False
18TXQ,False,False,False,False,False
